lessonId	position	dayId	exerciseId	type	assessmentMode	instruction	audio	display	displayFormat	options	optionsFormat	correct	targetNumber	validationResult	origin	sourceExerciseId	topic	prerequisite	introducesNewContent	assessesContent
wb1_l1	1	wb1_l1_d1	wb1_l1_letter_recognition_a	multiple-choice		Choose the correct letter.	A. This is the letter A.	A	unknown	A | E | H | R	unknown	A		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	2	wb1_l1_d1	wb1_l1_letter_recognition_b	multiple-choice		Choose the correct letter.	B. This is the letter B.	B	unknown	B | D | P | V	unknown	B		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	3	wb1_l1_d1	wb1_l1_letter_recognition_c	multiple-choice		Choose the correct letter.	C. This is the letter C.	C	unknown	C | G | S | Z	unknown	C		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	4	wb1_l1_d1	wb1_l1_letter_recognition_d	multiple-choice		Choose the correct letter.	D. This is the letter D.	D	unknown	D | B | T | P	unknown	D		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	5	wb1_l1_d1	wb1_l1_letter_recognition_e	multiple-choice		Choose the correct letter.	E. This is the letter E.	E	unknown	E | A | I | H	unknown	E		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	6	wb1_l1_d1	wb1_l1_letter_recognition_f	multiple-choice		Choose the correct letter.	F. This is the letter F.	F	unknown	F | S | V | E	unknown	F		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	7	wb1_l1_d1	wb1_l1_letter_recognition_g	multiple-choice		Choose the correct letter.	G. This is the letter G.	G	unknown	G | J | K | Z	unknown	G		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	8	wb1_l1_d1	wb1_l1_letter_recognition_h	multiple-choice		Choose the correct letter.	H. This is the letter H.	H	unknown	H | A | E | R	unknown	H		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	9	wb1_l1_d1	wb1_l1_letter_recognition_i	multiple-choice		Choose the correct letter.	I. This is the letter I.	I	unknown	I | Y | E | A	unknown	I		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
wb1_l1	10	wb1_l1_d1	wb1_l1_letter_recognition_j	multiple-choice		Choose the correct letter.	J. This is the letter J.	J	unknown	J | G | K | Z	unknown	J		not-applicable:multiple-choice	lesson1Authored		alphabet	none	true	false
