lessonId	position	dayId	exerciseId	type	assessmentMode	instruction	audio	display	displayFormat	options	optionsFormat	correct	targetNumber	validationResult	origin	sourceExerciseId	topic	prerequisite	introducesNewContent	assessesContent
wb1_l2	47	wb1_l2_d4	wb1_l2_d4_e2	multiple-choice		Read: "The sky is blue." What color is the sky?	The sky is blue.	The sky is blue.	unknown	blue | red | green | yellow	unknown	blue		not-applicable:multiple-choice	normalized from wb1_l2_d4_e2	wb1_l2_d4_e2	colors		true	false
wb1_l2	48	wb1_l2_d4	wb1_l2_d4_e3	multiple-choice		Read: "The kite is red and white." What color is the kite?	The kite is red and white.	The kite is red and white.	unknown	red and white | blue and green | black and yellow | orange and pink	unknown	red and white		not-applicable:multiple-choice	normalized from wb1_l2_d4_e3	wb1_l2_d4_e3	colors		false	true
wb1_l2	54	wb1_l2_d4	wb1_l2_d4_e9	speaking		Listen and repeat.	blue	blue	unknown		none	blue		not-applicable:speaking	normalized from wb1_l2_d4_e9	wb1_l2_d4_e9	colors		false	true
wb1_l2	60	wb1_l2_d5	wb1_l2_d5_e5	speaking		Listen and repeat exactly as you hear.	The kite is red and white.		unknown		none	The kite is red and white.		not-applicable:speaking	normalized from wb1_l2_d5_e5	wb1_l2_d5_e5	colors		false	true
wb1_l2	87	wb1_l2_d7	wb1_l2_final_v2_listen_write_7	writing	listening-writing	Listen and write exactly what you hear.	blue		unknown		none	blue		not-applicable:writing	normalized from wb1_l2_d4_e9	wb1_l2_d4_e9	colors		false	true
wb1_l11	47	wb1_l11_d4	wb1_l11_d4_e2	speaking		Listen to Dialogue 2 and repeat.	Amir: Who is she? Leo: She's Ms. Green. Amir: Where is she? Leo: She's in the classroom. Amir: When is English class? Leo: It's on Monday at nine.	Dialogue 2 — People, place, and time Amir: Who is she? Leo: She's Ms. Green. Amir: Where is she? Leo: She's in the classroom. Amir: When is English class? Leo: It's on Monday at nine.	mixed		none	Amir: Who is she? Leo: She's Ms. Green. Amir: Where is she? Leo: She's in the classroom. Amir: When is English class? Leo: It's on Monday at nine.		not-applicable:speaking	wb1_l11_d4_e2		colors		false	true
wb1_l11	51	wb1_l11_d4	wb1_l11_d4_e6	multiple-choice		Listen and choose the best answer.	Who is Ms. Green?		unknown	She is Amir. | She is eleven. | She is Monday. | She is the teacher.	unknown	She is the teacher.		not-applicable:multiple-choice	wb1_l11_d4_e6		colors		false	true
wb1_l11	52	wb1_l11_d4	wb1_l11_d4_e7	multiple-choice		Listen and choose the best answer.	Where is Ms. Green?		unknown	She is in the classroom. | She is on Monday. | She is eleven. | She is from Egypt.	unknown	She is in the classroom.		not-applicable:multiple-choice	wb1_l11_d4_e7		colors		false	true
wb1_l11	55	wb1_l11_d4	wb1_l11_d4_e10	speaking		Ask and answer naturally.	Who is she? She is Ms. Green.	Who is she? She is Ms. Green.	unknown		none	Who is she? She is Ms. Green.		not-applicable:speaking	wb1_l11_d4_e10		colors		false	true
wb1_l11	71	wb1_l11_d6	wb1_l11_d6_e1	speaking		Listen to and read the complete text.	Ms. Green welcomes a new student to the Monday class. His name is Amir, and he is eleven. Maya asks, “Where are you from?” Amir says he is from Egypt. Leo asks, “When is your birthday?” Amir’s birthday is on December second. The students look at the class calendar. It is September third, and their next school event is on October tenth at noon. Amir points to Ms. Green and asks, “Who is she?” Maya answers, “She’s our English teacher.” Then Amir asks where his book is. It is on his desk. At the end, Ms. Green asks, “What questions can you ask now?” The students use what, who, where, when, and how old to learn about their new classmate.	Reading — Questions for Amir  Ms. Green welcomes a new student to the Monday class. His name is Amir, and he is eleven. Maya asks, “Where are you from?” Amir says he is from Egypt. Leo asks, “When is your birthday?” Amir’s birthday is on December second. The students look at the class calendar. It is September third, and their next school event is on October tenth at noon. Amir points to Ms. Green and asks, “Who is she?” Maya answers, “She’s our English teacher.” Then Amir asks where his book is. It is on his desk. At the end, Ms. Green asks, “What questions can you ask now?” The students use what, who, where, when, and how old to learn about their new classmate.	unknown		none	Ms. Green welcomes a new student to the Monday class. His name is Amir, and he is eleven. Maya asks, “Where are you from?” Amir says he is from Egypt. Leo asks, “When is your birthday?” Amir’s birthday is on December second. The students look at the class calendar. It is September third, and their next school event is on October tenth at noon. Amir points to Ms. Green and asks, “Who is she?” Maya answers, “She’s our English teacher.” Then Amir asks where his book is. It is on his desk. At the end, Ms. Green asks, “What questions can you ask now?” The students use what, who, where, when, and how old to learn about their new classmate.		not-applicable:speaking	wb1_l11_d6_e1		colors		false	true
